点击月份,点击日期,点击时间,结算时间,创建时间,付款时间,淘宝付款时间,品牌名称,商品ID,商品标题,掌柜旺旺,店铺名称,商品数量,商品单价,类目名称,淘宝订单编号,淘宝子订单号,订单状态,订单类型,付款金额,结算金额,佣金比率,佣金金额,推广位ID,推广位名称,成交平台
2020-11,2020-11-25,2020-11-25 04:25:04,,2020-11-28 16:38:00,2020-11-28 16:38:58,2020-11-28 16:38:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8065181419668915893,,已付款,聚划算,97.563,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-28,2020-11-28 01:27:09,,2020-11-28 13:25:00,2020-11-28 13:25:35,2020-11-28 13:25:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8063912851627027323,,已付款,聚划算,113.23,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-14,2020-11-14 05:24:24,,2020-11-28 13:07:00,2020-11-28 13:07:52,2020-11-28 13:07:00,vita,8406711827254,VITA褪黑素sleep安神助眠睡眠软糖原装10粒,vita软糖旗舰店,VITA软糖旗舰店,1,69.9,膳食营养补充食品,7892831287092672354,,已失效,天猫,45.73,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-28,2020-11-28 08:10:45,,2020-11-28 08:14:00,2020-11-28 08:14:23,2020-11-28 08:14:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8063220174922537133,,已付款,聚划算,93.23,,0.03,,18999725939298,VsleepI38,无线
2020-11,2020-11-25,2020-11-25 05:35:22,,2020-11-28 06:37:00,2020-11-28 06:38:06,2020-11-28 06:37:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8064435682184005043,,已付款,聚划算,93.23,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-28,2020-11-28 06:27:39,,2020-11-28 06:31:00,2020-11-28 06:32:10,2020-11-28 06:32:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8063162358949499810,,已付款,聚划算,93.09,,0.03,,18999715189282,VsleepI20,无线
2020-11,2020-11-28,2020-11-28 05:42:00,,2020-11-28 05:46:00,2020-11-28 05:47:09,2020-11-28 05:46:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8064198225355161686,,已失效,聚划算,87.56,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-28,2020-11-28 05:39:50,,2020-11-28 05:40:00,2020-11-28 05:40:23,2020-11-28 05:40:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8063947915946925837,,已付款,聚划算,89.38,,0.03,,18999725939298,VsleepI38,无线
2020-11,2020-11-28,2020-11-28 04:38:07,,2020-11-28 04:39:00,2020-11-28 04:39:56,2020-11-28 04:39:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8064199916924650121,,已付款,聚划算,90.14,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-26,2020-11-26 05:59:39,,2020-11-28 04:24:00,2020-11-28 04:24:54,2020-11-28 04:24:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8064188505400694231,,已付款,聚划算,93.23,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-28,2020-11-28 03:38:47,,2020-11-28 03:39:00,2020-11-28 03:39:18,2020-11-28 03:39:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,7892721055146537156,,已付款,聚划算,87.56,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-28,2020-11-28 02:26:59,,2020-11-28 02:28:00,2020-11-28 02:28:42,2020-11-28 02:28:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8064159381207603698,,已付款,聚划算,87.56,,0.03,,18999725939298,VsleepI38,无线
2020-11,2020-11-28,2020-11-28 01:38:56,,2020-11-28 01:41:00,2020-11-28 01:41:40,2020-11-28 01:41:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8064090693217634410,,已付款,聚划算,87.56,,0.03,,18999715139366,VsleepI21,无线
2020-11,2020-11-28,2020-11-28 01:14:56,,2020-11-28 01:15:00,2020-11-28 01:15:37,2020-11-28 01:15:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8064288621733164296,,已付款,聚划算,87.56,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-28,2020-11-28 01:09:32,,2020-11-28 01:11:00,2020-11-28 01:11:38,2020-11-28 01:11:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8064199630490398783,,已付款,聚划算,92.86,,0.03,,18999725939298,VsleepI38,无线
2020-11,2020-11-16,2020-11-16 03:35:51,,2020-11-28 01:08:00,2020-11-28 01:08:49,2020-11-28 01:08:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8064033884737208999,,已付款,聚划算,113.23,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-28,2020-11-28 00:48:27,,2020-11-28 00:49:00,2020-11-28 00:49:26,2020-11-28 00:49:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8063716687691554593,,已付款,聚划算,87.56,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-26,2020-11-26 04:25:44,,2020-11-28 21:14:00,2020-11-28 21:14:33,2020-11-28 21:14:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8066375146208425647,,已付款,聚划算,93.2,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-19,2020-11-19 00:28:27,,2020-11-28 23:22:00,2020-11-28 23:23:00,2020-11-28 23:22:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8065329450891398216,,已付款,聚划算,112.71,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-22,2020-11-22 02:48:38,,2020-11-28 23:38:00,2020-11-28 23:38:21,2020-11-28 23:38:00,vita,8389305835308,【火拼价】VITA清澈美肌软糖美肤美容维生素AE软糖薄荷莓果味50粒,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8066406717143061622,,已付款,聚划算,131.56,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-29,2020-11-29 01:47:22,,2020-11-29 01:49:00,2020-11-29 01:49:20,2020-11-29 01:49:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,7893830899905439358,,已付款,聚划算,87.56,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-29,2020-11-29 01:22:45,,2020-11-29 01:28:00,2020-11-29 01:28:41,2020-11-29 01:28:00,vita,8406711827254,VITA褪黑素sleep安神助眠睡眠软糖原装10粒,vita软糖旗舰店,VITA软糖旗舰店,1,69.9,膳食营养补充食品,8065435183272535814,,已付款,天猫,45.73,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-29,2020-11-29 01:27:46,,2020-11-29 01:28:00,2020-11-29 01:28:36,2020-11-29 01:28:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8065433023278096682,,已付款,聚划算,87.56,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-27,2020-11-27 03:14:58,,2020-11-29 01:25:00,2020-11-29 01:25:23,2020-11-29 01:25:00,vita,8406711827254,VITA褪黑素sleep安神助眠睡眠软糖原装10粒,vita软糖旗舰店,VITA软糖旗舰店,1,69.9,膳食营养补充食品,8066504204669105241,,已付款,天猫,25.73,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-15,2020-11-15 03:12:57,,2020-11-29 02:14:00,2020-11-29 02:14:09,2020-11-29 02:13:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8066745549939558696,,已失效,聚划算,107.56,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-29,2020-11-29 03:06:03,,2020-11-29 03:14:00,2020-11-29 03:14:52,2020-11-29 03:14:00,vita,8406711827254,VITA褪黑素sleep安神助眠睡眠软糖原装10粒,vita软糖旗舰店,VITA软糖旗舰店,1,69.9,膳食营养补充食品,7897837209182904866,,已付款,天猫,25.73,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-29,2020-11-29 02:59:44,,2020-11-29 03:02:00,2020-11-29 03:03:09,2020-11-29 03:02:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,7893842277343354457,,已付款,聚划算,87.56,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-29,2020-11-29 03:49:56,,2020-11-29 03:50:00,2020-11-29 03:50:32,2020-11-29 03:50:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8066266531962365652,,已付款,聚划算,92.89,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-29,2020-11-29 03:29:52,,2020-11-29 03:30:00,2020-11-29 03:30:31,2020-11-29 03:30:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,7897798941725764966,,已付款,聚划算,92.99,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-29,2020-11-29 03:26:25,,2020-11-29 03:27:00,2020-11-29 03:27:51,2020-11-29 03:27:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,7893833996329665453,,已付款,聚划算,87.56,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-29,2020-11-29 03:26:27,,2020-11-29 03:27:00,2020-11-29 03:27:15,2020-11-29 03:27:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8066765493678135221,,已付款,聚划算,88.39,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-29,2020-11-29 04:10:29,,2020-11-29 04:12:00,2020-11-29 04:12:35,2020-11-29 04:12:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8066537108800639385,,已付款,聚划算,87.56,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-29,2020-11-29 03:58:54,,2020-11-29 03:59:00,2020-11-29 03:59:29,2020-11-29 03:59:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8065478634794570148,,已付款,聚划算,92.4,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-29,2020-11-29 03:56:13,,2020-11-29 03:57:00,2020-11-29 03:57:21,2020-11-29 03:57:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8066267287967700934,,已付款,聚划算,87.56,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-29,2020-11-29 04:39:41,,2020-11-29 04:40:00,2020-11-29 04:40:46,2020-11-29 04:40:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,7897800345749318267,,已失效,聚划算,93.23,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-29,2020-11-29 04:22:48,,2020-11-29 04:26:00,2020-11-29 04:27:23,2020-11-29 04:27:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8066269628075264825,,已付款,聚划算,88.19,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-29,2020-11-29 04:55:53,,2020-11-29 05:23:00,2020-11-29 05:23:37,2020-11-29 05:23:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8065469311572425729,,已付款,聚划算,87.56,,0.03,,18999721388976,VsleepI31,无线
2020-11,2020-11-29,2020-11-29 05:18:15,,2020-11-29 05:18:00,2020-11-29 05:18:58,2020-11-29 05:18:00,vita,8391485512245,【火拼价】VITA褪黑素sleep安瓶助眠软糖睡眠糖sleepwell退黑素软糖,vita软糖旗舰店,VITA软糖旗舰店,1,269,膳食营养补充食品,8066768158222596115,,已付款,聚划算,93.12,,0.03,,18999721388976,VsleepI31,无线
